"var","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"mean_temp",125.395356535068,112.704809219473,133.777570544629,129.689414533958,112.371557943396,117.01608978398,124.759146961598,131.17845402671,131.093136449784
"min_temp",157.012925602672,134.863066336959,161.34723706888,149.938078278782,150.370891829369,152.577294352114,143.051478929948,148.638126129447,144.173627773359
"max_temp",123.536716331841,119.514982110029,123.645231712814,122.458206291558,129.834933155515,114.99686779686,131.370446718763,124.08584915877,140.044158780647
"solar_rad",137.565854993752,127.119879188769,131.037663418561,129.958092843893,117.408710258146,126.892685894017,135.239857991753,131.212938906732,141.417267105904
"precip",112.120495983183,108.42211698712,109.820789512078,112.601175495488,105.556464197203,117.645777522087,119.693497743392,110.61766417365,116.082378677568
"dry_days",73.4385803265649,71.6886543325907,69.8064123946301,71.5692445257203,69.4809067553442,67.5372617965344,75.2515820923456,62.5339000747394,69.8986522890596
"soil_moisture",161.950056300163,145.699430297784,152.816315153796,154.02768345379,149.144625731068,144.711285935285,131.849189684369,155.723205986016,143.353959019471
