"var","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"mean_temp",134.40518171419,144.967910334698,144.62617257008,144.499731123395,138.292784735949,140.839416128663,144.529348968913,148.435506640657,150.869675855863
"min_temp",197.194861295994,198.717697712849,189.737856652904,203.634542261356,186.852830242646,193.588334334064,188.250030889401,187.616155842637,211.265020660274
"max_temp",164.82180845681,163.352445589519,155.321228796418,167.791458311779,163.504173385507,163.400859871735,169.698091399775,163.898361180275,173.267252457778
"solar_rad",156.27727926474,141.584558494175,148.497773379175,163.696659887482,144.105469590794,143.280086955253,138.213746309013,139.536540289753,160.633112636397
"precip",104.724792889099,109.648977542518,107.661333573275,110.579715540644,103.845309219223,99.648588812183,106.361156353266,104.15355649421,103.669762287634
"dry_days",110.60015478104,114.767369805161,108.664254095216,111.814410095146,110.471669862121,108.262312913471,107.265444938949,99.7833708568152,108.277521599034
"soil_moisture",202.831649090583,180.469305555508,200.155112313487,187.158828941088,178.713625982003,186.193874695622,191.292230073353,178.49111855945,185.962907284204
