"var","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"mean_temp",194.250889418798,179.546507336114,190.271518010561,165.724408349016,163.484302959509,184.476624883102,184.702797869066,173.738050543585,182.708267376682
"min_temp",214.578778223398,209.144264172889,219.532543179287,216.953856093232,214.720754580125,208.353372667354,204.525085227205,197.329711788969,210.481391070198
"max_temp",179.291509510487,188.537080426262,175.897429489436,172.467906867091,175.201055559855,176.871574309106,174.59716194789,173.689879997626,177.099006850731
"solar_rad",186.624631879516,163.927544907505,186.101987082771,188.791005740157,183.978355106685,183.710189421928,179.620124062203,180.243808874178,187.708482463448
"precip",135.132744287152,126.394673664163,132.217009578314,135.555617434166,127.48824256863,139.455260558153,133.112188006928,130.728497051412,127.708565385832
"dry_days",95.9395467236271,94.9491511250777,89.8589129158369,97.6172695967842,102.550359022773,89.4695784415152,96.7169522581127,87.9140345823238,92.9906749540987
"soil_moisture",194.126734048743,198.449243186798,202.5823843974,215.070748539642,195.50126644649,207.007135176061,207.255499702183,189.867578474473,195.688519826482
