"Species_name","User_Tree_id","flon_week","flon_week_sd","n.fl","spname"
"Artocarpus heterophyllus",5622,65.7692307692308,24.476773194919,2,"jackfruit"
"Artocarpus heterophyllus",5764,148.846153846154,73.4303195847569,2,"jackfruit"
"Artocarpus heterophyllus",5895,166.153846153846,NA,1,"jackfruit"
"Artocarpus heterophyllus",5957,183.461538461538,40.781565623141,6,"jackfruit"
"Artocarpus heterophyllus",5976,220.549450549451,38.8409854030982,7,"jackfruit"
"Artocarpus heterophyllus",5979,207.692307692308,47.2936189198135,4,"jackfruit"
"Artocarpus heterophyllus",5981,144,47.8143599533809,5,"jackfruit"
"Artocarpus heterophyllus",5987,160.384615384615,59.7821488861331,6,"jackfruit"
"Artocarpus heterophyllus",5990,150.923076923077,47.3105064829012,5,"jackfruit"
"Artocarpus heterophyllus",6055,131.538461538462,19.5814185559352,2,"jackfruit"
"Artocarpus heterophyllus",6084,13.8461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",6139,173.076923076923,NA,1,"jackfruit"
"Artocarpus heterophyllus",6172,138.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",6173,76.1538461538461,NA,1,"jackfruit"
"Artocarpus heterophyllus",6192,83.0769230769231,NA,1,"jackfruit"
"Artocarpus heterophyllus",6200,166.153846153846,NA,1,"jackfruit"
"Artocarpus heterophyllus",6203,138.461538461538,NA,1,"jackfruit"
"Artocarpus heterophyllus",6260,96.9230769230769,NA,1,"jackfruit"
"Artocarpus heterophyllus",6353,173.076923076923,NA,1,"jackfruit"
"Artocarpus heterophyllus",6403,152.307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",6485,221.538461538462,NA,1,"jackfruit"
"Artocarpus heterophyllus",6487,163.846153846154,26.2103462113859,3,"jackfruit"
"Artocarpus heterophyllus",6489,173.076923076923,13.8461538461539,3,"jackfruit"
"Artocarpus heterophyllus",6507,152.307692307692,NA,1,"jackfruit"
"Artocarpus heterophyllus",6555,202.153846153846,49.0513557708508,5,"jackfruit"
"Artocarpus heterophyllus",6556,150.576923076923,77.993513612867,4,"jackfruit"
"Artocarpus heterophyllus",6557,148.846153846154,19.9852016257947,4,"jackfruit"
"Artocarpus heterophyllus",6558,211.153846153846,24.476773194919,2,"jackfruit"
"Artocarpus heterophyllus",6559,60,41.7303261231349,3,"jackfruit"
"Artocarpus heterophyllus",6560,178.269230769231,51.3040017124978,4,"jackfruit"
"Artocarpus heterophyllus",6688,161.538461538462,52.4206924227718,3,"jackfruit"
"Artocarpus heterophyllus",6689,182.967032967033,60.335074519257,7,"jackfruit"
"Artocarpus heterophyllus",6690,173.076923076923,54.9502195374953,5,"jackfruit"
"Artocarpus heterophyllus",6695,154.615384615385,87.9348871534969,3,"jackfruit"
"Artocarpus heterophyllus",6699,41.5384615384615,0,2,"jackfruit"
"Artocarpus heterophyllus",6700,76.1538461538462,39.1628371118703,2,"jackfruit"
"Artocarpus heterophyllus",6704,150,92.1922354866378,3,"jackfruit"
"Artocarpus heterophyllus",6705,152.307692307692,90,3,"jackfruit"
"Artocarpus heterophyllus",6707,136.153846153846,68.3014550166865,3,"jackfruit"
"Artocarpus heterophyllus",6709,145.384615384615,78.019114635586,3,"jackfruit"
"Artocarpus heterophyllus",6717,121.153846153846,75.94376617802,4,"jackfruit"
"Artocarpus heterophyllus",6718,188.307692307692,34.4070654640316,5,"jackfruit"
"Artocarpus heterophyllus",6719,276.923076923077,47.9644839019074,3,"jackfruit"
"Artocarpus heterophyllus",6720,163.384615384615,63.7524799378413,5,"jackfruit"
"Artocarpus heterophyllus",6722,141.230769230769,84.7334840167066,5,"jackfruit"
"Artocarpus heterophyllus",6723,166.153846153846,NA,1,"jackfruit"
"Artocarpus heterophyllus",6724,173.076923076923,127.279220613579,2,"jackfruit"
"Artocarpus heterophyllus",6726,154.615384615385,116.738214184078,3,"jackfruit"
"Artocarpus heterophyllus",6727,135,93.011738140692,2,"jackfruit"
"Artocarpus heterophyllus",6728,180,89.5551134396873,4,"jackfruit"
"Artocarpus heterophyllus",6731,221.538461538462,NA,1,"jackfruit"
"Artocarpus heterophyllus",6746,136.153846153846,86.0060545550041,3,"jackfruit"
"Artocarpus heterophyllus",6854,173.076923076923,NA,1,"jackfruit"
"Artocarpus heterophyllus",6874,96.9230769230769,NA,1,"jackfruit"
"Artocarpus heterophyllus",7002,103.846153846154,NA,1,"jackfruit"
"Artocarpus heterophyllus",7013,242.307692307692,NA,1,"jackfruit"
