"var","ests_2014","std_er_2014","ests_2015","std_er_2015","ests_2016","std_er_2016","ests_2017","std_er_2017","ests_2018","std_er_2018","ests_2019","std_er_2019","ests_2020","std_er_2020","ests_2021","std_er_2021","ests_2022","std_er_2022"
"(Intercept)",-3.19339248690059,0.112842279799893,-3.15789621491256,0.11149083390624,-3.18960346213949,0.119554213859388,-3.14373448941966,0.112815180252077,-3.07407614052228,0.108100966894216,-3.19433942016024,0.121481558705714,-3.08466618484051,0.112567564971828,-3.0814393094217,0.108764349378249,-3.11682960591329,0.112177662799852
"min_temp",-0.654093734530712,0.0500791572991317,-0.644813969040808,0.0491652416867134,-0.684600659269418,0.0522907227068205,-0.664544317551673,0.0502891062087758,-0.627780014634008,0.0514780057718551,-0.723892528471124,0.0578183625981553,-0.593629063072945,0.0493805268197774,-0.611100720358735,0.0496905519218854,-0.654886589374838,0.0490110410176864
"soil_moisture",-0.21046947888145,0.0825793525359452,-0.262446145766568,0.0827299850296524,-0.21565326489586,0.084382595898517,-0.252232293316772,0.082420303110411,-0.383412216572595,0.0868516780088767,-0.293150634001207,0.087367024618176,-0.235737843439522,0.0823262665849707,-0.190057322312367,0.0809305101273039,-0.275212200614023,0.081679373850912
"solar_rad",0.0886540115732592,0.0565476973102742,0.0787306044032095,0.0566829807573076,0.0612966678246835,0.0568520768988847,0.0841302567557504,0.0567376224830553,-0.0032706382058537,0.0598319883242117,0.0506114411174896,0.0607855451963661,0.0994594940787343,0.0571752281700784,0.181429266032479,0.0593990852618411,0.0678491911410475,0.0547801747851299
"elev_cs",-0.147444245042456,0.060504621134159,-0.173854086444686,0.0664434009245422,-0.120175365608362,0.064763696077267,-0.148208120598652,0.0622855292051595,-0.272635478013904,0.0860849399180915,-0.190908899710196,0.0680910870380844,-0.153799769010571,0.063167548356477,-0.190304401856678,0.0683181428446722,-0.168627429469271,0.0626068381925195
"aspect_cs",-0.0611271229527818,0.0428547517866579,-0.0987288045822901,0.049141645871576,-0.0788466123012845,0.0439829188589708,-0.0788381954903974,0.0429301615997133,-0.0501472045099576,0.0450136973658859,-0.0867622599183683,0.0459975826407456,-0.0470448116404475,0.0453963460509089,-0.140555261587011,0.0460079863288528,-0.0712495358249506,0.0431375925903711
"lights_cs",0.0562945012582656,0.0623560895191278,0.0263946531757013,0.0642577719152454,0.0251155277907097,0.0664893333753726,0.0482438121563414,0.0634827965931988,0.0647759576525511,0.061763745315199,0.0783968075164831,0.0651802559218941,0.115043265729865,0.0649966887166174,0.0542130095863759,0.0654166316309877,0.0547002390165857,0.0619648937450824
"soil_moisture:elev_cs",-0.0767882824358996,0.0896789754102954,-0.0589050490197427,0.0958747137104717,-0.131732079932601,0.0930979531256819,-0.0912212503864424,0.101707084375352,0.123066873226452,0.109230235548731,-0.0650796110459105,0.0986972882796233,0.000286674010316967,0.0886088895832392,-0.0276980727047324,0.0952768783226783,-0.0420569898753994,0.0907593542487424
"solar_rad:elev_cs",-0.109506639461987,0.0488554862706119,-0.0824626253200873,0.0525670918435756,-0.114870167125443,0.0492575918764261,-0.131636236999467,0.0559956634679056,-0.0331214027651075,0.0526153401544485,-0.123236378839651,0.0581286624102298,-0.0696654958838169,0.0472898890126448,-0.133865066304458,0.0522768557306443,-0.0976371091794673,0.0482650935861317
"min_temp:aspect_cs",-0.0291393624167846,0.0316105400469804,-0.0313157855512992,0.0311543552962451,-0.0335994390209284,0.0303431487998555,-0.0372700362188922,0.0308548307586524,-0.029165291658427,0.0310107886270398,-0.024317613532559,0.0330897746404221,-0.0296099749010484,0.0305240328871934,-0.0505757756117956,0.0306678319194448,-0.0446146015651569,0.0302222840619216
"soil_moisture:aspect_cs",-0.0200861485915961,0.0361003880155005,-0.0061694723803661,0.0411250761704979,-0.0456405544221556,0.0367135637315706,-0.0209176625819575,0.0363137982706847,-0.00115571917065722,0.0382502776248645,-0.0364894024121498,0.0380768275654054,-0.01988742823022,0.0369973490717457,-0.0678494252565729,0.0381849474070896,-0.0372101609299379,0.0368454475526531
"solar_rad:lights_cs",0.0580013045570339,0.0328227320316561,0.0867437158825497,0.0337788647262515,0.0446627388298311,0.0336447308946419,0.0801328127621159,0.0338653084664201,0.0398351143875235,0.0338304576156861,0.0681431229024997,0.0345094664369765,0.072717416421207,0.0328999637888892,0.0157072522101292,0.0345659560189185,0.0599153665073158,0.0317253589842398
