"var","ests_2014","std_er_2014","ests_2015","std_er_2015","ests_2016","std_er_2016","ests_2017","std_er_2017","ests_2018","std_er_2018","ests_2019","std_er_2019","ests_2020","std_er_2020","ests_2021","std_er_2021","ests_2022","std_er_2022"
"(Intercept)",-3.37970249670048,0.13555757676094,-3.36706866895113,0.14269781113228,-3.26921461132916,0.141976074520569,-3.29287481335426,0.126839679613924,-3.25560390052847,0.137301673241001,-3.30626144595154,0.135276493568982,-3.28910438062586,0.135501797159973,-3.15497233432733,0.143036259873475,-3.23353757014861,0.134049166889464
"min_temp",0.179937330824093,0.0807893367007794,0.192792715627723,0.0828741164052369,0.243330726043735,0.085379122109649,0.203594538642876,0.0827215331334946,0.244121341016082,0.0850396217510819,0.432146492826253,0.0961895381667209,0.247043626407806,0.0830342591780497,0.138581343425536,0.086994580131821,0.203498239904352,0.0821090126942442
"soil_moisture",0.393326124534477,0.147885618108262,0.287667087557407,0.152167526945971,0.342364462028924,0.150648426650334,0.254395383673346,0.144114441455909,0.205455640996994,0.151513396186896,0.446006394806674,0.15678084139115,0.365572130578253,0.150085080562944,0.17521763884347,0.154426743364458,0.265879781168101,0.145657510279383
"solar_rad",0.101798345498526,0.0928823261234931,0.0964302427013696,0.0962599079412022,0.102424004835371,0.0948256505108578,-0.0233878808862475,0.091847754592064,0.084379968165013,0.0973399007642141,0.00184389106321065,0.0988934459520254,0.149340588765653,0.0958703127894235,-0.0804566221479601,0.103457255123019,0.0533810941242302,0.0911049595992063
"elev_cs",-0.0482887920162911,0.163702753337675,-0.132913917001463,0.175831173723368,0.0184434319859216,0.152931524912381,-0.132545146430952,0.175523614647265,-0.0421240268438997,0.170023666193668,-0.0132838097668565,0.17939201170765,-0.062715577397313,0.165719400567136,-0.0308792946561188,0.198225653704212,-0.0372159145484707,0.156995665788487
"aspect_cs",-0.0922395620245175,0.0755294945805799,-0.0274749635303053,0.0798569398372028,-0.131585227900661,0.0758317929558553,-0.0457590808148988,0.076466466665736,-0.0938243196709615,0.0774625769599264,-0.0976787824589522,0.0809267781756093,-0.0964155929653768,0.0800538242515011,-0.045980707938785,0.0836133894858957,-0.0624250573484839,0.0756588658441257
"lights_cs",-0.0158538411871197,0.0765587680273979,-0.0239485650631607,0.0805760221960586,0.018258515591781,0.0795647165622906,-0.00283338732012291,0.0730189467536159,-0.0287609199770738,0.0790672378605492,0.010694303915451,0.0776727074113771,-0.0361986193587448,0.080238812675669,0.0182284875513255,0.0844589399489149,0.0181291745002472,0.0752443543666907
"soil_moisture:elev_cs",0.0989297894458745,0.174817597729964,0.208100481596687,0.180051670413977,0.0498408784900647,0.166782119696197,0.181544556244341,0.180839200032175,0.0887577736142066,0.180623228216046,0.142990109717719,0.183503438448708,0.14999467942071,0.173156254838718,0.0158999542292235,0.255517182240049,0.104947878876743,0.167049606782027
"solar_rad:elev_cs",0.06069253479694,0.0826385673369127,0.10486016144886,0.0820245805745601,0.0477898279203784,0.0813657363353611,0.0913925010479743,0.0825898334442973,0.0694766513286296,0.0863122883928534,0.0767285789417285,0.081596342101971,0.074125882583837,0.0810969647360728,0.0306680761719459,0.16876572384586,0.068925544812916,0.0786734189365522
"min_temp:aspect_cs",-0.0459522390440366,0.056674916309929,-0.0160924963787192,0.0573844693352042,-0.0861481843273746,0.059763625412899,0.000187295885520258,0.0615110234645882,-0.0155854404438754,0.0599423446550589,-0.00282868121303169,0.0632811841237253,-0.0536441632326714,0.057080444989218,-0.0464671672315508,0.0623752803878485,-0.0343354594731902,0.0565698159265036
"soil_moisture:aspect_cs",-0.0316954657928985,0.0689267064067997,-0.0689282843777764,0.0710331080052568,-0.0554392058814837,0.0691281252904694,-0.0721050039019956,0.0713708933887503,-0.00895894710919927,0.0705755585151587,-0.0109160925972173,0.074396001227467,-0.0342992099889384,0.0736856974538635,-0.0365269127771319,0.073199734910587,-0.0375612828882729,0.0684715382602998
"solar_rad:lights_cs",-0.0228397667035977,0.0501899697644813,0.000337592749203682,0.0502470699795871,-0.00322520183873411,0.0506116503440146,-0.0137991837098899,0.0489515398528528,0.01706086574086,0.0502442431919324,0.0512518261169232,0.0507496887685919,-0.026276595163399,0.0517237906562592,0.00643094405155666,0.0566972264592381,0.00598304221721161,0.0476350217036397
