"var","ests_2014","std_er_2014","ests_2015","std_er_2015","ests_2016","std_er_2016","ests_2017","std_er_2017","ests_2018","std_er_2018","ests_2019","std_er_2019","ests_2020","std_er_2020","ests_2021","std_er_2021","ests_2022","std_er_2022"
"(Intercept)",-3.15371029824313,0.102118442022904,-3.08449128218084,0.100544758649801,-3.22097401939557,0.112741335417113,-3.03373088664032,0.100254743529366,-3.06678697948347,0.10291694961664,-3.11938278813476,0.101071925830632,-3.07595274636875,0.110722814557562,-3.10665727713179,0.11406775080143,-3.04998881171751,0.101960118067233
"min_temp",-0.767571467788068,0.0528027187481086,-0.72965400910941,0.0522498549793258,-0.824216076172567,0.0558381213764973,-0.712718004814462,0.0532744036983416,-0.713457035061585,0.054305485950137,-0.793767261019395,0.0594861860113651,-0.714000079802117,0.054833251167373,-0.706065927864291,0.0561560459472428,-0.728004887465701,0.0517366735132162
"soil_moisture",-0.155016361843757,0.0779508270468952,-0.12089621771845,0.0781419119028978,-0.052439043487165,0.0820375083394202,-0.163627302775943,0.0787978445528684,-0.310497779094596,0.0813035928358036,-0.254452797775231,0.0810577414383367,-0.294696774874832,0.080958281878746,-0.215676818210964,0.081890327766093,-0.240790160847549,0.0782913584994916
"solar_rad",0.206495522538917,0.0572556709964735,0.234320458046077,0.0575366770856645,0.224220987436876,0.0587727303791684,0.192476225611386,0.0576085585677693,0.127793895288805,0.0606494527093564,0.156207507241119,0.0609558305408994,0.147921677927274,0.0599842983150472,0.278238373335506,0.0660236460089926,0.180152133280696,0.0564368869936099
"elev_cs",-0.338096031498792,0.0749807013076757,-0.339009298440336,0.0737779773488626,-0.435771864779255,0.0870811635160813,-0.304680645416973,0.071473340149533,-0.344141279487977,0.0806111031157711,-0.319388594224198,0.0725624698360968,-0.288931996234913,0.0737442435846686,-0.317280564491058,0.0972218350860076,-0.350676059529682,0.0758178317176456
"aspect_cs",-0.0294515042248004,0.0449943134687385,-0.0351372788625539,0.0516429278143292,-0.040861888770692,0.0471182833991916,-0.0352800282223738,0.0447385578837709,-0.0570323979431071,0.0479131149846843,0.00533482067751454,0.0474696450236604,-0.0144507376399403,0.0499546179868824,-0.0529657482448829,0.0504932874489835,-0.0346193234998399,0.0448799062230627
"lights_cs",0.158905696798859,0.0578608885005047,0.176840195050749,0.0573414123708504,0.163088982158655,0.0629494751853878,0.156377972928461,0.0573108336180558,0.178473898725385,0.0587303617977035,0.151095686125433,0.0587412408574365,0.149437071626497,0.0647583665129674,0.178611197793616,0.0641981617182824,0.183686865793088,0.0578809790955501
"soil_moisture:elev_cs",0.177587020433415,0.0939368498896398,0.223826015000813,0.0965382739207656,0.297502914479889,0.112424521810158,0.102900784550457,0.09644920149127,0.248174612125751,0.0999348710408443,0.131670035452024,0.0965674542961243,0.128865594964856,0.0930236733148459,0.289459996352409,0.0996032011075318,0.21326838084927,0.0935482350445026
"solar_rad:elev_cs",0.045863950780347,0.0580467314020276,0.0588902250055027,0.0595032634823445,0.0583736414305485,0.0611169531402549,0.0257016690455849,0.0582207512971934,0.0608661451614747,0.0612763340761692,0.0175838690441511,0.0581957019180038,0.0322388389517034,0.0583812113531071,0.144011686666742,0.0681740580901594,0.0610224821396984,0.0570323559749119
"min_temp:aspect_cs",0.00982900802866024,0.0343467076982998,0.0133060734926214,0.0360515791230095,-0.00911064144052027,0.0363956139323858,-0.012414254822094,0.0363681664429852,0.0366849224513498,0.0364655272587561,0.0434842689679334,0.0383911113758826,0.0446595037967165,0.0369738163901629,0.00628190220730044,0.0384897125622129,0.00787688143534644,0.0344768793088221
"soil_moisture:aspect_cs",-0.0073512571737785,0.0375375507439708,0.0147028002215273,0.0428339523726599,-0.0415877147207852,0.039523779276641,-0.0203044203674404,0.0386667158553404,0.00522338632139216,0.0401370490795928,-0.0231743952057967,0.039368209121915,0.0143173720532844,0.0403346384426134,-0.0488783587394604,0.0415957021096078,-0.00979242122726818,0.037911026238624
"solar_rad:lights_cs",-0.0630031414362979,0.032484462752579,-0.0380595215559631,0.032427118568184,-0.0750409951643624,0.0329951306189751,-0.0404388781045227,0.033070169931684,-0.0566819313369401,0.0325799596805963,-0.0625546093188369,0.0347784127687075,-0.048636269039947,0.0337459519741596,-0.127988055953207,0.03583843705014,-0.0439730312602995,0.032556892840131
