"year","mse","cor"
2014,0.0668460061267328,0.0235130653086638
2015,0.0668704528045572,0.119702156129643
2016,0.0337775108528487,0.0557610934312227
2017,0.0303871534676763,0.102625913266737
2018,0.0454108262056172,0.0479078818541249
2019,0.0307121083093668,0.0025457422623221
2020,0.0246159169999702,-0.00859101182223825
2021,0.0262514780380315,0.0165670210437328
2022,0.0262393951757465,0.0621318614215459
